transaction_id,customer_id,product_id,quantity,transaction_date,store_id
1,4864,2,1,2023-02-10 17:35:00,43
2,3030,5,3,2023-06-16 18:54:00,66
3,2090,4,1,2023-01-24 08:59:00,28
4,4298,1,1,2023-08-18 16:56:00,98
5,3018,8,1,2023-10-20 02:51:00,78
6,4560,10,2,2023-07-14 23:06:00,73
7,449,3,2,2023-02-18 04:43:00,23
8,4894,4,2,2023-06-03 15:11:00,35
9,794,4,1,2023-08-18 03:23:00,22
10,437,5,1,2023-06-04 19:55:00,5
11,4627,3,3,2023-12-30 12:41:00,60
12,4661,9,1,2023-10-16 02:10:00,41
13,1621,4,2,2023-12-01 03:01:00,29
14,3502,10,2,2023-04-15 00:51:00,35
15,2920,4,2,2023-07-12 21:06:00,98
16,4309,6,4,2023-04-12 16:13:00,68
17,949,8,1,2023-06-29 14:07:00,45
18,3945,7,2,2023-07-11 07:44:00,9
19,1128,4,1,2023-11-08 23:25:00,51
20,192,4,1,2023-10-18 20:01:00,14
21,4013,5,1,2023-09-21 14:20:00,69
22,3761,10,1,2023-06-09 16:54:00,56
23,3731,5,3,2023-04-11 17:31:00,91
24,1404,1,2,2023-12-26 08:48:00,11
25,1991,8,1,2023-03-08 04:45:00,30
26,1105,10,1,2023-02-04 07:25:00,39
27,4801,5,1,2023-03-21 20:15:00,98
28,549,3,2,2023-04-22 07:05:00,24
29,3449,3,2,2023-04-27 11:53:00,80
30,1862,4,1,2023-11-04 09:46:00,58
31,4250,7,1,2023-02-16 06:13:00,30
32,571,5,1,2023-10-08 04:17:00,24
33,1785,1,1,2023-10-05 21:16:00,67
34,2288,5,2,2023-12-07 19:45:00,29
35,2422,5,1,2023-07-03 01:46:00,42
36,3973,6,1,2023-01-09 08:38:00,76
37,805,7,1,2023-03-25 09:56:00,62
38,799,5,1,2023-07-14 07:06:00,27
39,3276,2,1,2023-09-05 16:59:00,29
40,611,2,2,2023-03-23 05:30:00,66
41,1807,4,2,2023-08-02 17:17:00,57
42,4239,1,2,2023-11-13 14:04:00,61
43,3261,7,1,2023-04-26 04:00:00,29
44,4368,1,1,2023-11-27 09:23:00,57
45,3372,3,1,2023-01-03 08:42:00,73
46,2474,10,1,2023-07-11 19:03:00,55
47,2094,7,1,2023-12-31 12:22:00,44
48,2143,6,1,2023-05-11 02:10:00,28
49,4002,7,1,2023-03-19 11:39:00,37
50,3081,5,1,2023-08-06 07:42:00,23
51,4555,8,2,2023-05-25 20:13:00,77
52,1433,6,1,2023-04-22 07:03:00,69
53,2518,4,1,2023-09-30 06:37:00,96
54,2858,1,1,2023-04-28 15:16:00,92
55,506,2,2,2023-01-01 09:59:00,58
56,1097,6,2,2023-08-25 01:02:00,79
57,4180,4,1,2023-12-22 19:00:00,88
58,4155,3,2,2023-01-15 04:22:00,32
59,1045,7,1,2023-03-23 11:01:00,85
60,2205,7,2,2023-09-22 07:32:00,69
61,3903,2,2,2023-08-12 22:11:00,36
62,1353,8,2,2023-06-24 08:43:00,92
63,1597,1,2,2023-02-12 04:18:00,32
64,576,10,1,2023-06-25 09:32:00,59
65,680,7,1,2023-02-27 08:22:00,60
66,4299,10,1,2023-03-04 08:54:00,87
67,3713,1,4,2023-12-20 21:17:00,80
68,3829,3,1,2023-02-20 09:34:00,74
69,1130,3,1,2023-04-02 13:49:00,93
70,3905,10,1,2023-04-04 11:48:00,27
71,3194,2,1,2023-12-13 02:09:00,99
72,318,10,2,2023-05-01 05:48:00,24
73,3697,5,1,2023-07-13 00:12:00,87
74,4502,4,1,2023-11-05 02:52:00,67
75,2997,6,1,2023-06-04 05:26:00,36
76,3595,2,2,2023-05-27 11:22:00,14
77,3210,4,1,2023-08-15 23:38:00,68
78,2543,7,1,2023-10-18 12:53:00,44
79,679,1,2,2023-09-29 21:59:00,48
80,1890,3,1,2023-11-16 00:21:00,32
81,1644,1,1,2023-11-25 18:17:00,84
82,835,2,2,2023-03-30 02:42:00,17
83,2242,9,1,2023-06-30 12:27:00,93
84,2356,10,1,2023-06-13 14:52:00,57
85,1669,5,1,2023-02-16 14:56:00,39
86,2554,4,1,2023-09-04 04:28:00,32
87,281,4,1,2023-01-16 07:36:00,68
88,2763,8,2,2023-06-17 13:32:00,88
89,4704,3,3,2023-06-10 08:34:00,2
90,4579,4,1,2023-01-06 05:40:00,78
91,1247,2,1,2023-02-21 16:41:00,42
92,1773,6,1,2023-02-12 20:53:00,38
93,2165,9,2,2023-06-16 17:02:00,55
94,192,4,1,2023-02-19 01:54:00,55
95,2836,6,1,2023-01-23 20:58:00,34
96,2666,4,2,2023-08-29 14:39:00,46
97,2564,2,1,2023-02-21 14:19:00,43
98,307,6,1,2023-06-23 07:25:00,2
99,532,7,1,2023-07-22 18:44:00,36
100,4218,4,2,2023-12-20 11:13:00,70
101,2697,7,1,2023-06-06 00:03:00,36
102,4688,8,1,2023-04-07 08:19:00,22
103,59,3,1,2023-12-11 04:31:00,69
104,1574,2,3,2023-06-26 22:41:00,38
105,1141,5,1,2023-12-11 09:48:00,54
106,1811,2,1,2023-10-24 09:53:00,22
107,3199,10,2,2023-05-19 15:39:00,75
108,3477,5,1,2023-03-10 16:27:00,31
109,4495,10,1,2023-03-12 13:59:00,53
110,2563,6,1,2023-11-10 21:09:00,93
111,2853,8,1,2023-09-15 23:47:00,59
112,942,6,1,2023-11-05 10:34:00,97
113,4624,4,2,2023-10-27 08:31:00,86
114,1775,3,1,2023-12-07 01:50:00,49
115,1422,2,4,2023-02-09 10:42:00,27
116,436,1,2,2023-03-13 15:58:00,72
117,840,2,4,2023-02-14 03:16:00,57
118,4002,2,1,2023-10-21 04:19:00,6
119,4456,5,1,2023-09-05 01:44:00,46
120,4960,9,2,2023-03-21 13:36:00,25
121,2682,1,2,2023-07-01 01:35:00,98
122,1651,4,3,2023-05-20 12:16:00,9
123,1246,10,1,2023-05-19 12:08:00,64
124,2262,7,1,2023-11-23 16:05:00,100
125,916,10,3,2023-04-13 01:51:00,31
126,2640,3,3,2023-11-04 04:54:00,19
127,3890,8,1,2023-05-14 14:41:00,65
128,4482,3,2,2023-07-22 19:55:00,88
129,1327,8,2,2023-12-03 21:00:00,98
130,3359,2,1,2023-07-01 21:41:00,17
131,1586,5,3,2023-02-24 21:26:00,34
132,3369,4,1,2023-11-19 16:16:00,99
133,389,9,2,2023-03-13 07:04:00,36
134,2792,3,3,2023-02-06 20:05:00,13
135,3333,5,1,2023-01-11 17:54:00,59
136,704,10,3,2023-03-09 21:53:00,89
137,2821,9,2,2023-06-22 03:01:00,76
138,4960,6,2,2023-05-02 02:29:00,21
139,1060,2,1,2023-10-23 22:36:00,65
140,4175,1,1,2023-12-20 15:11:00,6
141,1299,1,2,2023-12-17 12:20:00,11
142,1302,7,1,2023-06-05 15:30:00,80
143,674,2,1,2023-10-20 00:41:00,22
144,2360,7,1,2023-02-12 16:43:00,11
145,4300,1,1,2023-04-30 21:14:00,37
146,4113,4,2,2023-10-03 23:02:00,26
147,4572,10,2,2023-01-02 13:40:00,57
148,3583,4,2,2023-10-12 07:06:00,26
149,1017,5,2,2023-07-13 02:45:00,21
150,210,10,2,2023-11-28 07:50:00,57
151,499,1,1,2023-07-27 17:05:00,26
152,429,7,2,2023-11-05 00:35:00,15
153,3640,2,1,2023-12-21 09:11:00,63
154,3152,2,1,2023-04-23 17:16:00,35
155,2106,8,1,2023-05-19 06:42:00,11
156,1554,9,1,2023-08-05 01:20:00,73
157,3207,6,1,2023-06-08 12:35:00,87
158,2570,1,1,2023-02-12 14:04:00,68
159,2629,1,1,2023-02-14 09:18:00,94
160,1877,7,1,2023-08-17 08:38:00,92
161,4995,8,1,2023-02-11 15:02:00,89
162,1068,3,1,2023-02-06 12:18:00,86
163,1507,9,1,2023-12-14 04:28:00,89
164,3014,4,1,2023-04-25 15:20:00,90
165,1668,4,3,2023-02-11 10:02:00,50
166,4589,3,2,2023-02-28 08:02:00,29
167,4701,8,3,2023-05-16 07:31:00,64
168,4067,9,2,2023-02-19 21:29:00,41
169,948,1,2,2023-02-19 11:42:00,96
170,4390,2,1,2023-06-21 06:29:00,26
171,1172,1,1,2023-10-22 00:29:00,28
172,172,4,1,2023-03-29 07:10:00,84
173,4627,10,1,2023-06-29 06:55:00,48
174,1144,7,2,2023-01-29 22:32:00,66
175,1860,7,3,2023-03-01 16:45:00,23
176,2189,6,2,2023-11-02 06:29:00,39
177,2494,5,1,2023-08-19 08:57:00,69
178,3578,4,4,2023-07-09 21:12:00,21
179,189,8,4,2023-05-29 17:41:00,86
180,4077,7,1,2023-08-17 18:45:00,49
181,158,10,3,2023-06-23 19:20:00,75
182,2718,1,1,2023-07-13 09:57:00,94
183,1971,6,1,2023-10-16 04:51:00,92
184,246,2,1,2023-04-06 07:15:00,36
185,2904,4,2,2023-08-07 10:49:00,81
186,2796,5,1,2023-11-29 22:34:00,85
187,3825,8,1,2023-08-19 05:35:00,37
188,2378,6,1,2023-02-22 19:46:00,100
189,850,2,1,2023-01-07 18:47:00,89
190,1811,5,1,2023-11-30 17:07:00,88
191,3987,5,1,2023-03-14 19:17:00,94
192,2127,6,1,2023-02-23 08:19:00,42
193,4265,1,1,2023-06-05 05:08:00,62
194,3031,8,1,2023-07-13 02:42:00,99
195,2308,3,2,2023-04-07 10:50:00,85
196,3077,5,4,2023-09-12 03:22:00,6
197,2345,7,1,2023-02-20 02:12:00,85
198,620,3,1,2023-06-27 21:10:00,8
199,2903,10,3,2023-09-27 01:57:00,69
200,2408,6,1,2023-07-27 12:30:00,40
201,4453,5,2,2023-04-25 20:49:00,10
202,3005,7,1,2023-11-16 01:49:00,31
203,3915,10,1,2023-08-09 06:52:00,30
204,2487,3,2,2023-01-06 16:43:00,51
205,3403,2,2,2023-08-07 00:01:00,85
206,3597,4,1,2023-03-17 10:18:00,36
207,1678,3,1,2023-04-08 18:54:00,61
208,4040,4,2,2023-07-12 13:52:00,27
209,1305,7,1,2023-03-26 01:15:00,35
210,4094,5,2,2023-03-19 22:35:00,60
211,1964,4,1,2023-04-24 04:38:00,32
212,3308,6,1,2023-07-18 07:37:00,90
213,1362,7,1,2023-07-25 04:02:00,4
